INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 8, 1, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 9, 5, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 5, 2, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 9, 1, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 4, 2, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 10, 3, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 3, 4, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 9, 3, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 1, 3, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 7, 4, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 12, 3, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 2, 2, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 3, 4, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 11, 5, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 7, 3, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 1, 4, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 9, 2, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 8, 2, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 10, 3, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 10, 4, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 6, 4, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 5, 1, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 8, 2, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 7, 4, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 9, 3, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 2, 4, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 6, 5, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 3, 4, 'checkat_in');
