INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 475.89, '2025-09-02 07:05:23', '2025-09-12 04:28:07');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 898.46, '2023-12-08 15:03:05', '2024-12-01 17:01:33');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1310.18, '2025-03-27 14:31:17', '2025-07-31 04:55:47');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 805.47, '2024-07-15 04:13:34', '2025-04-27 06:29:16');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 840.44, '2024-08-17 06:46:30', '2025-09-07 18:30:04');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 438.89, '2024-06-11 05:13:52', '2024-09-09 06:55:26');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 475.47, '2025-01-26 06:26:59', '2025-02-25 15:58:04');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 820.5, '2025-02-25 03:54:25', '2025-10-16 12:09:46');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1056.04, '2025-02-12 18:37:27', '2025-04-23 12:40:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1368.86, '2024-12-10 17:59:06', '2025-09-14 01:51:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 475.48, '2024-10-23 10:28:46', '2025-07-15 09:27:37');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 406.8, '2024-04-26 21:19:27', '2025-04-11 12:01:48');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 918.27, '2024-04-03 17:26:33', '2025-02-26 11:31:20');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 420.97, '2024-05-29 05:48:26', '2025-02-07 00:11:08');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 840.52, '2024-04-20 19:55:15', '2025-05-22 04:23:49');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 452.24, '2023-10-23 11:29:38', '2024-11-22 17:39:28');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 517.29, '2024-09-13 21:14:55', '2024-11-11 17:48:55');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 734.61, '2024-09-28 22:49:34', '2025-09-23 15:22:55');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1001.41, '2023-12-16 12:32:23', '2025-09-28 10:23:22');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1132.29, '2024-09-25 00:05:13', '2025-08-21 01:56:53');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 621.66, '2024-07-27 14:19:24', '2025-02-21 07:28:48');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1321.91, '2024-02-06 17:49:07', '2025-07-08 11:36:07');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 418.89, '2024-09-21 08:01:10', '2025-08-21 20:08:17');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 612.8, '2024-04-20 23:12:09', '2025-01-29 09:19:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 789.27, '2024-03-28 22:23:19', '2025-07-29 14:12:21');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 622.09, '2023-11-21 04:15:51', '2024-11-07 22:57:10');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1344.13, '2023-12-14 16:26:27', '2025-03-25 01:21:07');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 705.49, '2024-04-26 13:28:04', '2025-09-13 23:43:46');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 659.95, '2024-03-16 01:47:41', '2025-08-18 14:58:38');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 724.36, '2024-08-21 08:57:26', '2025-10-10 21:28:10');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 548.44, '2024-03-30 07:22:57', '2025-05-13 09:45:37');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 496.06, '2024-04-02 10:24:35', '2025-06-17 21:25:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 462.76, '2024-07-17 05:40:25', '2025-07-15 21:22:37');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 731.49, '2025-05-29 17:25:14', '2025-09-17 20:51:31');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 893.33, '2024-08-11 22:41:25', '2025-02-14 07:36:13');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 493.29, '2024-09-11 01:43:39', '2025-08-31 01:01:31');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 908.72, '2024-12-08 19:09:35', '2025-09-12 15:33:11');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1048.96, '2023-11-11 07:32:57', '2025-09-26 17:52:59');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 444.33, '2024-08-17 22:48:52', '2024-11-18 14:13:18');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1043.95, '2024-07-28 20:02:25', '2025-04-29 08:39:11');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1297.11, '2024-04-08 09:27:59', '2024-09-19 04:38:13');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 779.96, '2024-01-09 21:31:36', '2025-06-06 06:18:06');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 673.38, '2025-07-25 05:08:15', '2025-08-08 19:22:34');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1239.52, '2024-09-22 22:10:15', '2025-02-25 23:30:04');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1193.91, '2024-09-26 11:07:39', '2025-09-04 11:25:07');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 428.1, '2025-05-23 14:32:35', '2025-06-06 09:59:18');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 697.18, '2024-05-26 18:16:33', '2025-02-18 09:03:26');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1003.22, '2024-02-18 03:26:06', '2025-06-20 21:56:27');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 680.23, '2023-10-28 10:04:05', '2025-03-31 23:46:40');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 802.63, '2025-01-07 22:06:01', '2025-05-17 09:49:53');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 405.66, '2024-02-23 04:54:51', '2025-08-30 13:12:57');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 451.64, '2024-07-04 23:20:52', '2025-05-23 03:59:58');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 888.63, '2025-01-21 00:33:42', '2025-06-10 00:58:50');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 495.79, '2024-04-18 16:45:26', '2024-12-10 11:32:19');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 608.47, '2024-10-02 14:43:59', '2025-09-08 01:44:52');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 510.57, '2025-02-24 06:26:27', '2025-07-04 13:56:10');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 473.21, '2024-02-02 10:42:15', '2025-08-14 12:47:21');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 803.25, '2025-02-08 13:34:13', '2025-06-27 06:18:50');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 484.43, '2023-12-08 16:45:32', '2024-08-18 03:22:34');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1091.56, '2024-05-22 14:37:22', '2025-04-04 01:28:07');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 707.92, '2024-03-05 04:09:50', '2024-10-25 13:39:32');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1046.24, '2024-02-24 10:04:46', '2024-12-06 02:44:20');
