INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 6, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 14, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 13, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 23, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 25, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 23, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 24, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 5, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 2, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 25, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 13, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 21, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 8, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 2, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 7, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 1, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 3, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 11, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 15, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 24, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 2, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 16, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 6, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 18, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 1, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 23, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 20, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 25, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 2, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 2, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 11, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 15, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 11, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 7, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 6, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 13, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 25, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 10, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 10, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 18, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 21, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 14, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 9, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 25, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 21, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 18, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 21, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 21, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 18, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 10, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
